"word","file_4_count","file_5_count","file_6_count","word_length","total_count","word_ID"
"We",17301,395,6528,2,24224,"4059"
"no",20247,853,6640,2,27740,"4060"
"It",25560,837,4283,2,30680,"4061"
"if",28426,1079,8731,2,38236,"4062"
"do",30646,1004,11047,2,42697,"4063"
"he",38693,4011,5340,2,48044,"4064"
"an",40420,2847,8113,2,51380,"4065"
"by",43527,3074,7338,2,53939,"4066"
"up",39451,1807,13366,2,54624,"4067"
"or",51753,2352,7990,2,62095,"4068"
"so",46806,1073,16002,2,63881,"4069"
"we",52051,1474,11102,2,64627,"4070"
"me",49873,673,22803,2,73349,"4071"
"at",60734,4981,22330,2,88045,"4072"
"as",76115,4307,8283,2,88705,"4073"
"be",77639,3586,23020,2,104245,"4074"
"my",91769,826,31409,2,124004,"4075"
"on",98911,6160,33286,2,138357,"4076"
"it",125923,4057,33774,2,163754,"4077"
"is",160838,6817,42358,2,210013,"4078"
"in",209343,15150,45630,2,270123,"4079"
"of",329193,18520,45180,2,392893,"4080"
"to",398463,21454,98454,2,518371,"4081"
"I",242483,2826,10277,1,255586,"4082"
"a",277771,19993,9577,1,307341,"4083"
